"area_code","area_type","area_name","year","period","type_definition","indicator","numerator","measure","upper_confidence_interval","lower_confidence_interval","data_source"
"S08000029","Health board","NHS Fife",2009,"2008 to 2010 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",24346,7047.9,7140,6956.8,"Public Health Scotland (SMR01)"
"S08000030","Health board","NHS Tayside",2009,"2008 to 2010 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",29237.7,7338.7,7425.4,7252.7,"Public Health Scotland (SMR01)"
"S08000031","Health board","NHS Greater Glasgow & Clyde",2009,"2008 to 2010 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",87921.7,8481.5,8540.4,8422.8,"Public Health Scotland (SMR01)"
"S08000032","Health board","NHS Lanarkshire",2009,"2008 to 2010 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",48332.3,8137.4,8214.3,8061,"Public Health Scotland (SMR01)"
"S08000015","Health board","NHS Ayrshire & Arran",2010,"2009 to 2011 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",31692.3,8633.1,8731.3,8535.7,"Public Health Scotland (SMR01)"
"S08000016","Health board","NHS Borders",2010,"2009 to 2011 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",9057.3,7919.2,8088.5,7752.5,"Public Health Scotland (SMR01)"
"S08000017","Health board","NHS Dumfries & Galloway",2010,"2009 to 2011 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",10332.7,6666.6,6800,6535.2,"Public Health Scotland (SMR01)"
"S08000019","Health board","NHS Forth Valley",2010,"2009 to 2011 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",18379,6644.7,6745.3,6545.3,"Public Health Scotland (SMR01)"
"S08000020","Health board","NHS Grampian",2010,"2009 to 2011 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",34923,6586.4,6658.2,6515.2,"Public Health Scotland (SMR01)"
"S08000022","Health board","NHS Highland",2010,"2009 to 2011 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",22224,7031.3,7126.9,6936.7,"Public Health Scotland (SMR01)"
"S08000024","Health board","NHS Lothian",2010,"2009 to 2011 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",49996.3,6640.3,6701.3,6579.6,"Public Health Scotland (SMR01)"
"S08000025","Health board","NHS Orkney",2010,"2009 to 2011 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1201,5697.7,6038.1,5371.5,"Public Health Scotland (SMR01)"
"S08000026","Health board","NHS Shetland",2010,"2009 to 2011 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1449.3,6674.1,7038.4,6323.6,"Public Health Scotland (SMR01)"
"S08000028","Health board","NHS Western Isles",2010,"2009 to 2011 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",2007,6992.6,7319.2,6676.6,"Public Health Scotland (SMR01)"
"S08000029","Health board","NHS Fife",2010,"2009 to 2011 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",24063,6905.4,6995.8,6816,"Public Health Scotland (SMR01)"
"S08000030","Health board","NHS Tayside",2010,"2009 to 2011 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",28892,7173,7258.1,7088.7,"Public Health Scotland (SMR01)"
"S08000031","Health board","NHS Greater Glasgow & Clyde",2010,"2009 to 2011 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",88089.3,8419.8,8478,8361.9,"Public Health Scotland (SMR01)"
"S08000032","Health board","NHS Lanarkshire",2010,"2009 to 2011 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",48579.3,8093,8168.8,8017.7,"Public Health Scotland (SMR01)"
"S08000015","Health board","NHS Ayrshire & Arran",2011,"2010 to 2012 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",32500.7,8782.8,8881.2,8685.3,"Public Health Scotland (SMR01)"
"S08000016","Health board","NHS Borders",2011,"2010 to 2012 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",9235,7998.6,8167.6,7832.2,"Public Health Scotland (SMR01)"
"S08000017","Health board","NHS Dumfries & Galloway",2011,"2010 to 2012 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",10386.3,6656,6788.5,6525.3,"Public Health Scotland (SMR01)"
"S08000019","Health board","NHS Forth Valley",2011,"2010 to 2012 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",18587.3,6656.2,6755.8,6557.6,"Public Health Scotland (SMR01)"
"S08000020","Health board","NHS Grampian",2011,"2010 to 2012 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",35062.3,6530.4,6601.1,6460.3,"Public Health Scotland (SMR01)"
"S08000022","Health board","NHS Highland",2011,"2010 to 2012 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",22237,6962.9,7057.2,6869.4,"Public Health Scotland (SMR01)"
"S08000024","Health board","NHS Lothian",2011,"2010 to 2012 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",50848.3,6657.2,6717.6,6597.2,"Public Health Scotland (SMR01)"
"S08000025","Health board","NHS Orkney",2011,"2010 to 2012 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1238.3,5754.2,6090.1,5432.2,"Public Health Scotland (SMR01)"
"S08000026","Health board","NHS Shetland",2011,"2010 to 2012 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1557,7074.9,7445.6,6717.9,"Public Health Scotland (SMR01)"
"S08000028","Health board","NHS Western Isles",2011,"2010 to 2012 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",2008.3,6985.7,7310.9,6671.1,"Public Health Scotland (SMR01)"
"S08000029","Health board","NHS Fife",2011,"2010 to 2012 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",23779.3,6758,6846.5,6670.3,"Public Health Scotland (SMR01)"
"S08000030","Health board","NHS Tayside",2011,"2010 to 2012 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",28568.3,7021.6,7105.2,6938.8,"Public Health Scotland (SMR01)"
